,close,Company,Date
0,13.98,AAL,2013-01-02
1,13.66,AAL,2013-01-03
2,14.73,AAL,2013-01-04
3,14.84,AAL,2013-01-07
4,15.16,AAL,2013-01-08
5,15.13,AAL,2013-01-09
6,15.14,AAL,2013-01-10
7,14.78,AAL,2013-01-11
8,14.67,AAL,2013-01-14
9,14.31,AAL,2013-01-15
10,14.63,AAL,2013-01-16
11,14.48,AAL,2013-01-17
12,14.44,AAL,2013-01-18
13,14.85,AAL,2013-01-22
14,15.07,AAL,2013-01-23
15,14.67,AAL,2013-01-24
16,14.97,AAL,2013-01-25
17,15.03,AAL,2013-01-28
18,14.42,AAL,2013-01-29
19,14.3,AAL,2013-01-30
20,14.28,AAL,2013-01-31
21,14.12,AAL,2013-02-01
22,13.99,AAL,2013-02-04
23,14.09,AAL,2013-02-05
24,14.56,AAL,2013-02-06
25,15.11,AAL,2013-02-07
26,14.75,AAL,2013-02-08
27,14.46,AAL,2013-02-11
28,14.27,AAL,2013-02-12
29,14.66,AAL,2013-02-13
30,13.99,AAL,2013-02-14
31,14.5,AAL,2013-02-15
32,14.26,AAL,2013-02-19
33,13.33,AAL,2013-02-20
34,13.37,AAL,2013-02-21
35,13.57,AAL,2013-02-22
36,13.02,AAL,2013-02-25
37,13.26,AAL,2013-02-26
38,13.41,AAL,2013-02-27
39,13.43,AAL,2013-02-28
40,13.61,AAL,2013-03-01
41,13.9,AAL,2013-03-04
42,14.05,AAL,2013-03-05
43,14.57,AAL,2013-03-06
44,14.82,AAL,2013-03-07
45,14.92,AAL,2013-03-08
46,15.13,AAL,2013-03-11
47,15.5,AAL,2013-03-12
48,15.91,AAL,2013-03-13
49,16.25,AAL,2013-03-14
50,15.98,AAL,2013-03-15
51,16.290001,AAL,2013-03-18
52,16.780001,AAL,2013-03-19
53,17.23,AAL,2013-03-20
54,17.0,AAL,2013-03-21
55,16.860001,AAL,2013-03-22
56,16.6,AAL,2013-03-25
57,16.51,AAL,2013-03-26
58,16.65,AAL,2013-03-27
59,16.969999,AAL,2013-03-28
60,25.360001,AAL,2014-01-02
61,26.540001,AAL,2014-01-03
62,27.030001,AAL,2014-01-06
63,26.91,AAL,2014-01-07
64,27.629999,AAL,2014-01-08
65,29.42,AAL,2014-01-09
66,29.35,AAL,2014-01-10
67,28.65,AAL,2014-01-13
68,28.870001,AAL,2014-01-14
69,28.84,AAL,2014-01-15
70,29.34,AAL,2014-01-16
71,30.02,AAL,2014-01-17
72,30.66,AAL,2014-01-21
73,31.200001,AAL,2014-01-22
74,31.35,AAL,2014-01-23
75,30.4,AAL,2014-01-24
76,30.18,AAL,2014-01-27
